ID,Product Name,Link,Product Image,Price,Details,Categories,Gender
11,WOOL BOMBER JACKET WITH ZIP,https://www.zara.com/in/en/wool-bomber-jacket-with-zip-p02893108.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2893/108/704/2/w/448/2893108704_1_1_1.jpg?ts=1693224696563': 'Image 0 of WOOL BOMBER JACKET WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2893/108/704/2/w/448/2893108704_2_1_1.jpg?ts=1693224696588': 'Image 1 of WOOL BOMBER JACKET WITH ZIP from Zara'}]","₹7,590.00",Bomber jacket made of 100% wool. Featuring a V-neckline and long sleeves. Front pockets. Ribbed trims. Metal zip fastening at the front.,Jacket,Women
12,SATIN KIMONO,https://www.zara.com/in/en/satin-kimono-p01131805.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1131/805/804/2/w/448/1131805804_1_1_1.jpg?ts=1692274456448': 'Image 0 of SATIN KIMONO from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1131/805/804/2/w/448/1131805804_2_1_1.jpg?ts=1692274456807': 'Image 1 of SATIN KIMONO from Zara'}]","₹3,290.00","Kimono made of satin fabric. Featuring a crossover V-neckline, long sleeves with vents and crossover fastening with tied detail in the same fabric",Jacket,Women
13,TRANSPARENT CROPPED JACKET,https://www.zara.com/in/en/transparent-cropped-jacket-p01255817.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1255/817/990/2/w/448/1255817990_1_1_1.jpg?ts=1692874440525': 'Image 0 of TRANSPARENT CROPPED JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1255/817/990/2/w/448/1255817990_2_1_1.jpg?ts=1692874444557': 'Image 1 of TRANSPARENT CROPPED JACKET from Zara'}]","₹4,990.00","Transparent collared water-repellent jacket. Featuring long sleeves with tabs on the shoulders. Front pockets with zips, a belt in the same material with a rubberised buckle and crossover zip fastening at the front.",Jacket,Women
14,SATIN FOIL BOMBER JACKET,https://www.zara.com/in/en/satin-foil-bomber-jacket-p08495350.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8495/350/808/2/w/448/8495350808_1_1_1.jpg?ts=1692884607713': 'Image 0 of SATIN FOIL BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8495/350/808/2/w/448/8495350808_2_1_1.jpg?ts=1692884606898': 'Image 1 of SATIN FOIL BOMBER JACKET from Zara'}]","₹4,990.00",Bomber jacket made of metallic satin fabric. Round neck and long sleeves with elastic cuffs. Front welt pockets. Elastic hem. Contrast lining. Front fastening with metal zip.,Jacket,Women
15,WORN EFFECT LEATHER EFFECT BIKER JACKET,https://www.zara.com/in/en/worn-effect-leather-effect-biker-jacket-p04341726.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4341/726/802/2/w/448/4341726802_1_1_1.jpg?ts=1692874442840': 'Image 0 of WORN EFFECT LEATHER EFFECT BIKER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4341/726/802/2/w/448/4341726802_2_1_1.jpg?ts=1692874444895': 'Image 1 of WORN EFFECT LEATHER EFFECT BIKER JACKET from Zara'}]","₹5,990.00",Distressed effect jacket with a lapel collar and long sleeves. Zip details on the front and shoulder tabs. Wrap front with zip fastening.,Jacket,Women
16,OVERSIZE TRENCH COAT WITH POCKETS,https://www.zara.com/in/en/oversize-trench-coat-with-pockets-p02731259.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2731/259/711/17/w/448/2731259711_1_1_1.jpg?ts=1692952040464': 'Image 0 of OVERSIZE TRENCH COAT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2731/259/711/17/w/448/2731259711_2_1_1.jpg?ts=1692952041015': 'Image 1 of OVERSIZE TRENCH COAT WITH POCKETS from Zara'}]","₹7,590.00",Collared trench coat made of a cotton blend. Featuring long flared sleeves. Front patch pockets. Back vent at the hem. Button-up front.,Jacket,Women
17,FAUX SUEDE TRENCH COAT,https://www.zara.com/in/en/faux-suede-trench-coat-p04968223.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4968/223/704/2/w/448/4968223704_1_1_1.jpg?ts=1692964746030': 'Image 0 of FAUX SUEDE TRENCH COAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4968/223/704/2/w/448/4968223704_2_1_1.jpg?ts=1692964745960': 'Image 1 of FAUX SUEDE TRENCH COAT from Zara'}]","₹4,990.00",Trench coat made of faux suede fabric. Lapel collar and long sleeves with tabs on the cuffs and shoulders. Side pockets. Belt in the same fabric with a contrast buckle. Double-breasted button fastening at the front.,Jacket,Women
18,SOFT SHORT JACKET,https://www.zara.com/in/en/soft-short-jacket-p03046260.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3046/260/704/2/w/448/3046260704_1_1_1.jpg?ts=1692964744875': 'Image 0 of SOFT SHORT JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3046/260/704/2/w/448/3046260704_2_1_1.jpg?ts=1692964747149': 'Image 1 of SOFT SHORT JACKET from Zara'}]","₹3,290.00",Long sleeve collared jacket. Front patch pockets with flaps and snap-button fastening at the front.,Jacket,Women
19,RUSTIC BOMBER JACKET,https://www.zara.com/in/en/rustic-bomber-jacket-p05584454.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5584/454/712/2/w/448/5584454712_1_1_1.jpg?ts=1692864058362': 'Image 0 of RUSTIC BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5584/454/712/2/w/448/5584454712_2_1_1.jpg?ts=1692864058653': 'Image 1 of RUSTIC BOMBER JACKET from Zara'}]","₹4,990.00","Bomber jacket made of a cotton blend. Featuring a round neckline, long sleeves and cutwork fabric. Matching ribbed trims and metal zip fastening at the front.",Jacket,Women
20,LINEN BLEND PLEATED BOMBER JACKET,https://www.zara.com/in/en/linen-blend-pleated-bomber-jacket-p02712468.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2712/468/832/2/w/448/2712468832_1_1_1.jpg?ts=1692776596473': 'Image 0 of LINEN BLEND PLEATED BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2712/468/832/2/w/448/2712468832_2_1_1.jpg?ts=1692776597029': 'Image 1 of LINEN BLEND PLEATED BOMBER JACKET from Zara'}]","₹5,990.00",Short collared bomber jacket made of a linen blend. Long sleeves. Front welt pockets. Elastic hem with pleats. Matching lining. Zip-up front hidden by a placket.,Jacket,Women
